loan_id,age,income,loan_amount,credit_score,employment_length,debt_to_income,num_late_payments,loan_term,monthly_income,annual_income,default
1,69,48817.057810142076,10962.944086531279,639.7371322408986,1.4054901169587666,0.07730311619192676,3,36,2795.0988694387124,38020.27712026429,0
2,50,50058.98409002196,16425.51417617453,588.9388559063052,8.697361723933454,0.46395684432262524,0,12,2257.403577522636,56879.89910587416,0
3,31,48281.78027867494,21697.064639348588,651.8150830480554,,0.33583119283369955,4,12,2012.4844271993504,48425.33188549067,1
4,41,20252.557910444648,13974.414073182774,721.8423885126421,6.884294790642328,0.4129414958036177,0,60,3162.5500799251317,68771.66992439292,0
5,39,41253.81048076716,9698.607584523921,581.2677300221332,2.9463172700698386,0.22041755591153506,0,36,3504.0222979824994,38630.07325340963,0
6,69,48960.407195994994,22936.85936921209,581.2690434440656,8.10613988456048,0.5419197397486626,3,60,5174.822724553032,17769.406420201234,0
7,68,54282.403352861875,13229.214652890572,726.3370252405913,3.7337991454724215,0.5062586996088276,2,36,3487.4967803569266,45109.9212996872,1
8,54,49424.4207863141,19415.754907079205,661.3947783322327,5.092926579707088,0.43753164545178314,1,24,4100.540825592257,38924.887631288824,0
9,69,54477.01186546678,14200.819365868128,562.4420491252039,,0.33057241297048384,1,24,2357.74834845306,48017.31229771856,0
10,40,56010.697622594496,23680.33454378448,643.4048034868772,8.762770354040441,0.4369785927942698,1,12,3385.4595894947383,49939.10780012806,0
11,23,41572.9754961792,24865.94385988602,562.9265845750031,,0.24396611480189764,3,24,3508.4314027544156,31981.772273561157,1
12,36,47477.952882335085,24586.403514143538,562.7416197143795,3.1506671732374745,0.47833334885310674,1,60,3157.6701735278602,24864.91512212267,0
13,29,54995.15645360558,10584.991590513624,619.3569817252827,,0.5974221341485881,0,36,3306.059837245926,37810.84974981421,0
14,43,45851.88307401395,10503.059263392484,446.93758042737613,0.23899102490553403,0.5105915839968779,1,12,3491.1064178584656,5000.0,0
15,46,57984.9622248324,21989.910544730657,462.00657339895736,,0.24055962952888854,5,24,3934.629349701228,41210.00888179327,1
16,31,53117.44492597343,14483.376970777965,555.0169976607222,6.1009085699698105,0.4042125975909654,1,12,4794.730887600535,33888.42887295754,0
17,34,30513.22909073701,14726.379268550148,518.9735103732461,7.007652460800575,0.1560287684362028,0,12,501.39859378369573,52925.12566739021,0
18,47,20410.001413971557,9440.697779551076,625.1397866076219,6.001461213239827,0.4358585466763513,3,36,4725.505226006692,10212.27199685327,0
19,24,40289.612938391954,26275.413036508064,527.3580739583031,4.70698718755979,0.4175905119293808,2,60,1194.823187935862,40095.179647009565,0
20,38,22283.043051420256,23323.941101838573,487.0157038931767,,0.06952754907017539,1,60,3719.2868596292737,63643.36427075709,0
21,18,41246.887268188744,14048.150468400392,717.2519015137243,,0.1757324234131454,1,48,6277.869544693925,50131.01991926528,0
22,66,39888.96405999023,9836.85524329512,581.9378959610772,,0.3075291654884349,4,60,3280.157972801106,54710.07993531794,0
23,55,59513.668561248356,9482.706260251878,605.4022563750339,,0.30487103792887604,1,24,3558.357257601636,45096.00283944921,0
24,21,47575.93999425326,16065.90629269155,486.0201451029235,2.9488064118598727,0.1685784596871792,2,48,2945.508690932749,15076.988951490108,0
25,63,54669.02812430646,18094.159224246352,556.4493820379854,1.9726735359034322,0.4083468094028275,2,48,4167.411267414504,42497.93759653716,0
26,25,32656.07676326841,8100.626242116427,608.8738071767893,6.293556260106353,0.38772104134107677,1,48,3786.0940241330104,46127.34040096006,0
27,35,62945.02411431447,5041.027588436094,507.9205138062158,1.3145376870467462,0.32085963020322206,4,48,2488.2742773594946,23826.631837138393,1
28,69,53404.72144183658,15637.233787140252,630.0558414676537,1.3839908200405642,0.23663127497624553,1,60,3190.392014352307,38101.69234961,0
29,62,46411.57342125079,21917.302142885324,551.9489048064956,3.5472493386852184,0.5073060689624845,0,48,1935.2877036118173,5000.0,0
30,25,12901.608906481764,15590.6606383822,576.6645000165379,6.5215567651285165,0.5983110669632443,2,24,3184.6565567929397,34988.527360872875,0
31,48,57681.09664007876,13005.057293215292,551.8634710216483,,0.2774657774230194,0,24,2809.1180996874123,33454.36085775546,1
